center_x,center_y,pitch,roll
22,79,2.141875602712167,0.2989993099384335
22,79,2.220446049250313e-16,-0.04999999999999999
22,79,0.396875,-0.04999999999999999
22,79,0.396875,-0.04999999999999999
21,79,0.396875,-0.04499999999999999
21,79,0.396875,-0.04499999999999999
21,79,0.396875,-0.04499999999999999
22,78,0.39375,-0.04999999999999999
24,79,0.396875,-0.06
25,79,0.396875,-0.065
25,80,0.4,-0.065
24,80,0.4,-0.06
23,80,0.4,-0.055
23,80,0.4,-0.055
22,81,0.40312499999999996,-0.04999999999999999
22,81,0.40312499999999996,-0.04999999999999999
22,81,0.40312499999999996,-0.04999999999999999
22,81,0.40312499999999996,-0.04999999999999999
22,81,0.40312499999999996,-0.04999999999999999
31,57,0.328125,-0.09500000000000001
31,57,0.328125,-0.09500000000000001
36,39,0.271875,-0.11999999999999998
36,39,0.271875,-0.11999999999999998
37,39,0.271875,-0.125
40,25,0.228125,-0.13999999999999999
44,13,0.190625,-0.15999999999999995
47,6,0.16874999999999998,-0.17499999999999996
50,1,0.15312499999999998,-0.18999999999999997
51,1,0.15312499999999998,-0.19499999999999998
51,1,0.15312499999999998,-0.19499999999999998
51,1,0.15312499999999998,-0.19499999999999998
51,1,0.15312499999999998,-0.19499999999999998
51,1,0.15312499999999998,-0.19499999999999998
51,1,0.15312499999999998,-0.19499999999999998
51,1,0.15312499999999998,-0.19499999999999998
51,1,0.15312499999999998,-0.19499999999999998
51,1,0.15312499999999998,-0.19499999999999998
51,1,0.15312499999999998,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
51,2,0.15625,-0.19499999999999998
49,6,0.16874999999999998,-0.185
49,6,0.16874999999999998,-0.185
45,14,0.19374999999999998,-0.165
45,15,0.196875,-0.165
45,15,0.196875,-0.165
43,24,0.22499999999999998,-0.15499999999999997
42,25,0.228125,-0.14999999999999997
41,26,0.23125,-0.145
39,39,0.271875,-0.135
39,38,0.26875,-0.135
38,39,0.271875,-0.12999999999999998
31,59,0.334375,-0.09500000000000001
32,58,0.33125,-0.09999999999999999
32,57,0.328125,-0.09999999999999999
33,57,0.328125,-0.10500000000000001
33,57,0.328125,-0.10500000000000001
33,57,0.328125,-0.10500000000000001
33,57,0.328125,-0.10500000000000001
33,57,0.328125,-0.10500000000000001
31,56,0.32499999999999996,-0.09500000000000001
30,56,0.32499999999999996,-0.09
28,56,0.32499999999999996,-0.08
27,56,0.32499999999999996,-0.075
27,56,0.32499999999999996,-0.075
25,56,0.32499999999999996,-0.065
24,56,0.32499999999999996,-0.06
24,56,0.32499999999999996,-0.06
22,56,0.32499999999999996,-0.04999999999999999
21,56,0.32499999999999996,-0.04499999999999999
21,56,0.32499999999999996,-0.04499999999999999
20,56,0.32499999999999996,-0.03999999999999999
23,55,0.321875,-0.055
24,55,0.321875,-0.06
24,55,0.321875,-0.06
25,55,0.321875,-0.065
26,55,0.321875,-0.06999999999999999
26,55,0.321875,-0.06999999999999999
27,55,0.321875,-0.075
27,55,0.321875,-0.075
28,55,0.321875,-0.08
28,55,0.321875,-0.08
29,55,0.321875,-0.08499999999999999
29,55,0.321875,-0.08499999999999999
30,55,0.321875,-0.09
30,55,0.321875,-0.09
31,55,0.321875,-0.09500000000000001
31,55,0.321875,-0.09500000000000001
32,55,0.321875,-0.09999999999999999
28,56,0.32499999999999996,-0.08
27,56,0.32499999999999996,-0.075
26,56,0.32499999999999996,-0.06999999999999999
25,56,0.32499999999999996,-0.065
29,56,0.32499999999999996,-0.08499999999999999
31,56,0.32499999999999996,-0.09500000000000001
34,56,0.32499999999999996,-0.10999999999999999
37,56,0.32499999999999996,-0.125
37,56,0.32499999999999996,-0.125
42,56,0.32499999999999996,-0.14999999999999997
43,56,0.32499999999999996,-0.15499999999999997
46,56,0.32499999999999996,-0.16999999999999998
49,56,0.32499999999999996,-0.185
52,56,0.32499999999999996,-0.2
54,56,0.32499999999999996,-0.21
55,56,0.32499999999999996,-0.21499999999999997
58,56,0.32499999999999996,-0.22999999999999998
61,56,0.32499999999999996,-0.245
64,56,0.32499999999999996,-0.26
67,57,0.328125,-0.275
70,57,0.328125,-0.29000000000000004
73,57,0.328125,-0.305
76,57,0.328125,-0.32
79,57,0.328125,-0.32
82,57,0.328125,-0.335
85,57,0.328125,-0.335
88,57,0.328125,-0.3499999999999999
91,57,0.328125,-0.35000000000000003
94,57,0.328125,-0.36499999999999994
98,57,0.328125,-0.37000000000000005
98,57,0.328125,-0.36499999999999994
98,57,0.328125,-0.37000000000000005
